Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,Winner Time,Elevation Gain,Event ID,"Original name
Surname, first name",hours
130,7:47:21 h,"Mangiante, Stefano",ASD Runrivierarun,ITA,1966.0,M,115,M55,9.0,5.906,6:31:33 h,1867823,Genova Trail (ITA),21.04.2024,46km  trail race,"219 (191 M, 28 F)",4:48:43 h,2500m,106996,,
661,7:05:50 h,,,AUS,1980.0,F,158,W40,19.0,7.045,6:47:11 h,2124388,11th Ultra-Trail Australia by UTMB - UTA50 (AUS),18.05.2024,50km  trail race,"2168 (1382 M, 786 F)",3:57:19 h,+2450m,100943,"Gowan, Caroline",
11,6:59:04 h,,,CHN,1983.0,M,10,M40,3.0,7.159,6:46:20 h,1198826,1st Flowering My Way (CHN),09.03.2024,50km  trail race,"172 (132 M, 40 F)",5:02:34 h,+2314hm,106074,"Hu, Gui (胡贵)",
208,11:45:33 h,,,JPN,1960.0,F,47,W60,1.0,4.847,8:44:31 h,215056,S1 Trail La Corsa della Bora (ITA),06.01.2024,57km  trail race,"226 (174 M, 52 F)",5:22:30 h,1830Hm,73004,"Yoshioka, Atsuko (吉岡敦子)",
118,11:23:55 h,,,CHN,1973.0,F,28,W50,4.0,4.474,10:06:47 h,1844154,5th Victoria 50 (HKG),03.03.2024,51km  trail race,"150 (114 M, 36 F)",5:14:40 h,,104032,"Shen, You-Hua (申优桦)",
33,6:11:04 h,"Rowlands, Rhys",*Perth,AUS,1983.0,M,24,M40,6.0,8.085,5:57:05 h,2229572,8th Yaberoo Trail Ultra (AUS),20.07.2024,50km  trail race,"96 (60 M, 36 F)",4:25:59 h,600Hm,109147,,
92,6:08:54 h,"Veteau, Kevin",Gâtines Trail,FRA,1986.0,M,88,M35,20.0,7.482,6:04:07 h,1792001,Trail Sud Touraine - solo (FRA),02.03.2024,46km  trail race,"282 (258 M, 24 F)",3:59:46 h,1100Hm,102083,,
1279,11:37:27 h,,,ESP,1983.0,M,1074,M40,236.0,4.732,11:16:15 h,290089,Val d'Aran by UTMB - Peades d'Aigua (ESP),04.-05.07.2024,55km  trail race,"1539 (1272 M, 267 F)",5:00:20 h,"+3300m,-3700m",82177,"Lamelas Crespo, Carlos",
281,9:06:12 h,"Aspehjell, Silje",,NOR,1983.0,F,75,W40,13.0,5.492,8:49:56 h,2217814,9th Romeriksåsen på langs (NOR),29.06.2024,50km  trail race,"302 (212 M, 90 F)",3:58:41 h,+983 -1211,104136,,
15,7:22:24 h,,,TPE,1966.0,M,15,M55,6.0,6.103,6:07:12 h,1225138,1st Miandian Ultra Run (TPE),04.08.2024,45km  road race,"19 (19 M, 0 F)",5:36:23 h,+256hm,108402,"Lu, Pao-Lin (呂寶麟)",
266,9:43:48 h,,,ARG,1984.0,M,202,M35,38.0,5.653,9:29:55 h,2238461,4° Valhöll Ultra Trail by UTMB - Challenge 55K (ARG),10.05.2024,55km  trail race,"643 (429 M, 214 F)",5:30:10 h,2500m,100622,"Gonzalez, Gaston",
434,19:40:35 h,,広尾親父rc,JPN,1970.0,M,382,M50,65.0,5.082,17:05:49 h,1537704,4th Okushinano 100 (JPN),08.-09.06.2024,100km  trail race,"550 (460 M, 90 F)",10:32:58 h,,108259,"Mochinaga, Kensuke (持永建介)",
207,21:30:39 h,"Denoux, Jonathan",CAB Athle,FRA,1989.0,M,195,M23,34.0,5.207,21:26:55 h,885547,11ème Ultra-trail du Puy Mary Aurillac (UTPMA) (FRA),15.-16.06.2024,112km  trail race,"405 (371 M, 34 F)",12:17:52 h,4780m,103596,,
12,5:26:48 h,,South African Police S...,RSA,,M,12,,5.0,13.458,5:26:48 h,1833234,6th The Original Kosmos 3-in-1 (RSA),09.03.2024,73.3km  road race,"1299 (953 M, 346 F)",4:28:47 h,,107551,"Mtayise, Aphelele",
21,9:28:04 h,"Clark, Michelle","*Sandy, UT",USA,1982.0,F,4,W40,2.0,5.281,9:11:09 h,2105364,3rd Connor's Claims 50 km Ultra (USA),25.05.2024,50km  trail race,"28 (21 M, 7 F)",5:26:42 h,2280 Hm,108786,,
